host_ID,host_species,village,grid,season,mass,mass_z,size_z,sex,BCI,dist_village,shannon_scaled,pd_scaled,uniqueness_scaled,FB_z
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,12.1,1.03943909166112,1.3053252401593143,1,0.7824359891258587,2.38,0.26384934062581006,-0.05185888388255235,-0.7168989302349448,0.03379949046341592
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,10.8,0.41263601481261314,1.3053252401593143,1,0.2668295608785038,2.38,-0.41126871330462933,-0.6844993074985176,0.23338912876911228,-0.1338063533265726
2010,Rattus rattus,Mandena,brushy_regrowth,1,80,-0.11304252022767597,0.9925456411273541,0,-1.1459660026218652,2.21,0.6973018707152706,0.9428241084491136,-0.8931242801364423,-0.25455949817783535
2011,Rattus rattus,Mandena,brushy_regrowth,1,51,-0.920178651716524,-0.5564486945961132,1,-0.5399501422128659,2.21,-0.317413222676331,0.02500777814064034,0.8661396861182274,-0.12315000433114112
2013,Rattus rattus,Mandena,brushy_regrowth,1,88,0.10961572294166141,0.6236540209187589,0,-0.32448115711237435,2.21,0.1585822230152538,-0.03573837372388715,-0.9595603320082473,-0.3647475820955499
2014,Rattus rattus,Mandena,brushy_regrowth,1,77,-0.19653936141617748,1.3504239103352331,1,-1.7615568881034074,2.21,0.37550038568074484,0.4919222487363075,-0.9168286811868411,-0.07109880033658095
2015,Rattus rattus,Mandena,brushy_regrowth,1,65,-0.5305267261701836,0.24304961841922415,0,-0.8186520594947545,2.21,-1.1869450055137243,-1.323015972895884,0.7651209649446624,-0.9875701877766563
2016,Rattus rattus,Mandena,brushy_regrowth,1,81,-0.08521023983150879,0.24304961841922415,0,-0.08285354709752675,2.21,-1.782929773233842,-2.987474833191585,1.2993231794201263,2.9835434909094576
2017,Rattus rattus,Mandena,brushy_regrowth,1,95,0.3044416857148316,0.6236540209187589,1,-0.06856189629852215,2.21,1.0273421534177318,0.4978867653613818,-0.6512527404119447,-0.6446689917247324
2018,Rattus rattus,Mandena,brushy_regrowth,1,90,0.16528028373399575,1.6979274218889837,1,-1.7135948981021563,2.21,0.21108198265331082,0.5148723313228611,-0.7292543301102904,0.09868799231656428
2019,Rattus rattus,Mandena,brushy_regrowth,1,66,-0.5026944457740163,0.9925456411273541,0,-1.7891803083624438,2.21,-0.6292298891187341,-0.6373041018855913,-0.28841581945191425,0.04879165503696403
2020,Rattus rattus,Mandena,brushy_regrowth,1,79,-0.14087480062384314,0.6236540209187589,1,-0.6852184916690921,2.21,0.3559885970908796,-0.08995751898828469,-0.5931078237574128,-0.48650624604356923
2021,Microgale brevicaudata,Mandena,brushy_regrowth,1,7.9,-0.985617002772519,1.3053252401593143,1,-1.1516336161497307,2.28,-0.12405994786074115,-0.6806991714873393,-0.8723759179759847,-0.07582922567922518
2023,Rattus rattus,Mandena,brushy_regrowth,1,91,0.19311256413016292,0.6236540209187589,0,-0.212394745789481,2.21,1.1107158604866525,0.5047003678352953,-0.011455407390265581,0.21637046355474263
2024,Rattus rattus,Mandena,brushy_regrowth,1,125,1.139410097599847,0.6236540209187589,1,0.849044635242143,2.21,1.2843985352064673,1.6194656231082107,-0.20955054516071442,-0.8382945174048982
2025,Rattus rattus,Mandena,brushy_regrowth,1,120,1.0002486956190109,1.3504239103352331,1,-0.2780481230975855,2.21,0.46490678752705594,-0.23770357990357627,0.6671427040901081,-1.158944239609902
2026,Microgale brevicaudata,Mandena,brushy_regrowth,1,11.5,0.7501453638848861,1.3053252401593143,1,0.5517208378432993,2.28,0.4519629674887022,-0.8901197775776715,-0.8845851085515851,0.6095136100367461
2027,Microgale brevicaudata,Mandena,brushy_regrowth,1,10.5,0.2679891509244957,1.3053252401593143,1,0.13903462555243956,2.38,0.28902192055894727,-0.4830145529873603,-0.19921305444567558,-0.04417023941482699
2028,Microgale brevicaudata,Mandena,brushy_regrowth,1,6,-1.9017138073972608,1.3053252401593143,1,-2.399617739128902,2.38,1.7148269591288077,2.074393693872715,0.5594161981569039,-0.18475077224291014
2029,Rattus rattus,Mandena,brushy_regrowth,1,66.5,-0.48877830557593277,0.6236540209187589,0,-1.261139581551307,2.21,-0.394010691979969,0.3896582799193931,-0.6731906168051991,0.1932958105624139
