host_ID,host_species,village,grid,final_id,link,type
2015,Rattus rattus,Mandena,brushy_regrowth,Hexamastix,0,Protozoa
2015,Rattus rattus,Mandena,brushy_regrowth,Tetratrichomonas,0,Protozoa
2016,Rattus rattus,Mandena,brushy_regrowth,Blastocystis,1,Protozoa
2016,Rattus rattus,Mandena,brushy_regrowth,Entamoeba,1,Protozoa
2016,Rattus rattus,Mandena,brushy_regrowth,Heligmosomoidea,0,Nematode
2016,Rattus rattus,Mandena,brushy_regrowth,Nippostrongylus,1,Nematode
2016,Rattus rattus,Mandena,brushy_regrowth,Trichostrongylidae,0,Nematode
2016,Rattus rattus,Mandena,brushy_regrowth,Hypotrichomonas,0,Protozoa
2016,Rattus rattus,Mandena,brushy_regrowth,Tritrichomonas,0,Protozoa
2016,Rattus rattus,Mandena,brushy_regrowth,Eimeria,0,Protozoa
2016,Rattus rattus,Mandena,brushy_regrowth,Heligmonellidae,0,Nematode
2016,Rattus rattus,Mandena,brushy_regrowth,Hexamastix,0,Protozoa
2016,Rattus rattus,Mandena,brushy_regrowth,Tetratrichomonas,0,Protozoa
2018,Rattus rattus,Mandena,brushy_regrowth,Blastocystis,1,Protozoa
2018,Rattus rattus,Mandena,brushy_regrowth,Entamoeba,1,Protozoa
2018,Rattus rattus,Mandena,brushy_regrowth,Heligmosomoidea,0,Nematode
2018,Rattus rattus,Mandena,brushy_regrowth,Nippostrongylus,1,Nematode
2018,Rattus rattus,Mandena,brushy_regrowth,Trichostrongylidae,0,Nematode
2018,Rattus rattus,Mandena,brushy_regrowth,Hypotrichomonas,0,Protozoa
2018,Rattus rattus,Mandena,brushy_regrowth,Tritrichomonas,0,Protozoa
2018,Rattus rattus,Mandena,brushy_regrowth,Eimeria,0,Protozoa
2018,Rattus rattus,Mandena,brushy_regrowth,Heligmonellidae,0,Nematode
2018,Rattus rattus,Mandena,brushy_regrowth,Hexamastix,0,Protozoa
2018,Rattus rattus,Mandena,brushy_regrowth,Tetratrichomonas,0,Protozoa
2019,Rattus rattus,Mandena,brushy_regrowth,Blastocystis,1,Protozoa
2019,Rattus rattus,Mandena,brushy_regrowth,Entamoeba,1,Protozoa
2019,Rattus rattus,Mandena,brushy_regrowth,Heligmosomoidea,0,Nematode
2019,Rattus rattus,Mandena,brushy_regrowth,Nippostrongylus,0,Nematode
2019,Rattus rattus,Mandena,brushy_regrowth,Trichostrongylidae,0,Nematode
2019,Rattus rattus,Mandena,brushy_regrowth,Hypotrichomonas,0,Protozoa
2019,Rattus rattus,Mandena,brushy_regrowth,Tritrichomonas,1,Protozoa
2019,Rattus rattus,Mandena,brushy_regrowth,Eimeria,0,Protozoa
2019,Rattus rattus,Mandena,brushy_regrowth,Heligmonellidae,0,Nematode
2019,Rattus rattus,Mandena,brushy_regrowth,Hexamastix,0,Protozoa
2019,Rattus rattus,Mandena,brushy_regrowth,Tetratrichomonas,0,Protozoa
2021,Microgale brevicaudata,Mandena,brushy_regrowth,Blastocystis,1,Protozoa
2021,Microgale brevicaudata,Mandena,brushy_regrowth,Entamoeba,1,Protozoa
2021,Microgale brevicaudata,Mandena,brushy_regrowth,Heligmosomoidea,0,Nematode
2021,Microgale brevicaudata,Mandena,brushy_regrowth,Nippostrongylus,0,Nematode
2021,Microgale brevicaudata,Mandena,brushy_regrowth,Trichostrongylidae,0,Nematode
2021,Microgale brevicaudata,Mandena,brushy_regrowth,Hypotrichomonas,0,Protozoa
2021,Microgale brevicaudata,Mandena,brushy_regrowth,Tritrichomonas,0,Protozoa
2021,Microgale brevicaudata,Mandena,brushy_regrowth,Eimeria,1,Protozoa
2021,Microgale brevicaudata,Mandena,brushy_regrowth,Heligmonellidae,0,Nematode
2021,Microgale brevicaudata,Mandena,brushy_regrowth,Hexamastix,0,Protozoa
2021,Microgale brevicaudata,Mandena,brushy_regrowth,Tetratrichomonas,0,Protozoa
2023,Rattus rattus,Mandena,brushy_regrowth,Blastocystis,1,Protozoa
2023,Rattus rattus,Mandena,brushy_regrowth,Entamoeba,0,Protozoa
