host_ID,host_species,site,village,grid,season
2132,Microgale brevicaudata,Mandena_semi-intact_forest,Mandena,semi-intact_forest,1
2133,Microgale brevicaudata,Mandena_semi-intact_forest,Mandena,semi-intact_forest,1
2137,Microgale brevicaudata,Mandena_semi-intact_forest,Mandena,semi-intact_forest,1
2138,Rattus rattus,Mandena_semi-intact_forest,Mandena,semi-intact_forest,1
2140,Rattus rattus,Mandena_semi-intact_forest,Mandena,semi-intact_forest,1
2142,Microgale brevicaudata,Mandena_semi-intact_forest,Mandena,semi-intact_forest,1
2143,Microgale brevicaudata,Mandena_semi-intact_forest,Mandena,semi-intact_forest,1
2144,Microgale brevicaudata,Mandena_semi-intact_forest,Mandena,semi-intact_forest,1
2145,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,1
2147,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,1
2148,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,1
2150,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,1
2152,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,1
2153,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,1
2154,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,1
2157,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,1
2160,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,1
2161,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,1
2162,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,1
2163,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,1
2165,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,1
2169,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,1
2170,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,1
2171,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,1
2172,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,1
2173,Microgale brevicaudata,Mandena_flooded_rice,Mandena,flooded_rice,1
2175,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,1
2176,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,1
2177,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,1
2178,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,1
2181,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,1
2182,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,1
2183,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,1
2186,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,1
2187,Rattus rattus,Mandena_flooded_rice,Mandena,flooded_rice,1
2188,Microgale brevicaudata,Mandena_agroforest,Mandena,agroforest,1
2195,Microgale brevicaudata,Mandena_agroforest,Mandena,agroforest,1
2196,Microgale brevicaudata,Mandena_agroforest,Mandena,agroforest,1
2197,Microgale brevicaudata,Mandena_agroforest,Mandena,agroforest,1
