host_ID,host_species,village,grid,Blastocystis,Entamoeba,Heligmosomoidea,Nippostrongylus,Trichostrongylidae,Hypotrichomonas,Tritrichomonas,Eimeria,Heligmonellidae,Hexamastix,Tetratrichomonas
2126,Microgale brevicaudata,Mandena,secondary_forest,0,0,1,0,1,0,0,1,0,0,0
2131,Microgale brevicaudata,Mandena,secondary_forest,0,0,1,0,0,0,0,1,0,0,0
2132,Microgale brevicaudata,Mandena,semi-intact_forest,0,0,1,0,1,0,0,1,0,0,0
2133,Microgale brevicaudata,Mandena,semi-intact_forest,0,0,1,0,1,0,0,1,0,0,0
2137,Microgale brevicaudata,Mandena,semi-intact_forest,1,0,0,0,0,0,0,1,0,0,0
2142,Microgale brevicaudata,Mandena,semi-intact_forest,0,0,0,1,0,0,0,1,1,0,0
2143,Microgale brevicaudata,Mandena,semi-intact_forest,0,0,1,0,1,0,0,1,0,0,0
2144,Microgale brevicaudata,Mandena,semi-intact_forest,0,0,1,0,1,0,0,1,0,0,0
2145,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,1,0,0,1,0,0,0
2147,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,1,0,0,1,0,0,0
2148,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,1,0,0,1,0,0,0
2150,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,0,0,0,1,0,0,0
2152,Rattus rattus,Mandena,flooded_rice,1,0,0,1,0,0,1,0,0,0,0
2153,Rattus rattus,Mandena,flooded_rice,0,0,0,1,0,0,1,1,0,0,0
2160,Rattus rattus,Mandena,flooded_rice,0,0,0,1,0,0,0,1,0,0,0
2161,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,1,0,0,0,1,0,0,0
2162,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,1,0,0,1,0,0,0
2165,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,0,0,0,1,0,0,0
2169,Rattus rattus,Mandena,flooded_rice,0,0,0,0,0,1,1,0,0,0,0
2171,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,0,0,0,1,0,0,0
2172,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,0,0,0,1,0,0,0
2173,Microgale brevicaudata,Mandena,flooded_rice,0,0,0,0,1,0,0,1,0,0,0
2177,Rattus rattus,Mandena,flooded_rice,1,0,0,1,0,0,1,0,0,0,0
2178,Rattus rattus,Mandena,flooded_rice,1,0,0,0,0,0,1,0,0,0,0
2181,Rattus rattus,Mandena,flooded_rice,1,0,0,1,0,1,1,1,0,0,0
2182,Rattus rattus,Mandena,flooded_rice,0,0,0,1,0,1,0,1,0,0,0
2183,Rattus rattus,Mandena,flooded_rice,1,0,0,1,0,1,1,0,0,0,0
2187,Rattus rattus,Mandena,flooded_rice,0,0,0,1,0,0,1,0,0,0,0
2188,Microgale brevicaudata,Mandena,agroforest,0,0,0,0,1,0,0,1,0,0,0
2195,Microgale brevicaudata,Mandena,agroforest,0,0,0,0,1,0,0,1,0,0,0
